country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Ethiopia,Africa,250955,3531.0,190013,57411,987.0,2140,30.0,2544095.0,21696.0,117260576
Faeroe Islands,Europe,663,1.0,661,1,,13527,20.0,250438.0,5109520.0,49014
Falkland Islands Malvinas,South America,63,,62,1,,17687,,7202.0,2021898.0,3562
Fiji,Australia/Oceania,87,2.0,65,20,,96,2.0,46423.0,51483.0,901720
Finland,Europe,85607,903.0,46000,38704,31.0,15431,163.0,4380100.0,789531.0,5547723
France,Europe,5473579,102713.0,4321374,1049492,5958.0,83705,1571.0,74165951.0,1134192.0,65391007
French Guiana,South America,18826,98.0,9995,8733,14.0,61740,321.0,208396.0,683436.0,304924
French Polynesia,Australia/Oceania,18734,141.0,4842,13751,4.0,66379,500.0,26355.0,93382.0,282227
Gabon,Africa,22433,138.0,19074,3221,22.0,9891,61.0,710576.0,313289.0,2268117
Gambia,Africa,5857,173.0,5284,400,3.0,2370,70.0,62356.0,25231.0,2471358
Georgia,Asia,303751,4025.0,285971,13755,,76263,1011.0,4059312.0,1019177.0,3982930
Germany,Europe,3286187,82194.0,2893900,310093,5049.0,39120,978.0,54061332.0,643573.0,84001806
Ghana,Africa,91928,777.0,89729,1422,9.0,2909,25.0,1055797.0,33415.0,31596954
Gibraltar,Europe,4283,94.0,4183,6,1.0,127156,2791.0,230363.0,6839147.0,33683
Greece,Europe,331730,9950.0,287222,34558,797.0,31954,958.0,7824968.0,753738.0,10381546
Greenland,North America,31,,31,0,,545,,20669.0,363571.0,56850
Grenada,North America,159,1.0,155,3,,1408,9.0,26331.0,233127.0,112947
Guadeloupe,North America,13669,185.0,2242,11242,23.0,34157,462.0,171662.0,428962.0,400180
Guatemala,North America,221307,7395.0,195802,18110,5.0,12171,407.0,1219088.0,67043.0,18183565
Guinea Bissau,Africa,3724,67.0,3237,420,9.0,1857,33.0,62741.0,31284.0,2005537
Guinea,Africa,21885,140.0,19194,2551,24.0,1631,10.0,425451.0,31703.0,13419855
Guyana,South America,12600,279.0,10702,1619,16.0,15957,353.0,116046.0,146961.0,789637
Haiti,North America,12958,251.0,11945,762,,1125,22.0,60085.0,5218.0,11515210
Holy See,Europe,27,,15,12,,33624,,,,803
Honduras,North America,206381,5100.0,77539,123742,573.0,20572,508.0,604804.0,60287.0,10032126
Hungary,Europe,767190,26420.0,478323,262447,813.0,79581,2741.0,5257377.0,545350.0,9640367
Iceland,Europe,6390,29.0,6227,134,4.0,18627,85.0,585811.0,1707695.0,343042
India,Asia,16960172,192311.0,14085110,2682751,8944.0,12193,138.0,277918810.0,199796.0,1391012516
Indonesia,Asia,1636792,44500.0,1492322,99970,,5933,161.0,14242895.0,51629.0,275869680
Iran,Asia,2377039,69120.0,1863405,444514,5156.0,28010,814.0,15078540.0,177678.0,84864249
Iraq,Asia,1025288,15217.0,897966,112105,509.0,25037,372.0,9076934.0,221652.0,40951234
Ireland,Europe,246204,4872.0,227886,13446,46.0,49414,978.0,4387769.0,880633.0,4982515
Isle Of Man,Europe,1585,29.0,1545,11,1.0,18560,340.0,44761.0,524140.0,85399
Israel,Asia,838006,6350.0,829851,1805,153.0,91111,690.0,14058462.0,1528494.0,9197590
Italy,Europe,3949517,119021.0,3369048,461448,2894.0,65401,1971.0,56886535.0,941995.0,60389418
Jamaica,North America,44867,756.0,20391,23720,26.0,15098,254.0,323381.0,108821.0,2971674
Japan,Asia,556999,9854.0,498242,48903,837.0,4415,78.0,11365991.0,90091.0,126160972
Jordan,Asia,700423,8563.0,664772,27088,729.0,68099,833.0,6593672.0,641076.0,10285314
Kazakhstan,Asia,306400,3550.0,261647,41203,221.0,16161,187.0,9828632.0,518421.0,18958790
Kenya,Africa,156318,2603.0,106093,47622,236.0,2856,48.0,1631699.0,29815.0,54727751
Kuwait,Asia,265404,1511.0,248633,15260,219.0,61412,350.0,2272818.0,525906.0,4321719
Kyrgyzstan,Asia,93831,1582.0,88066,4183,25.0,14193,239.0,964218.0,145844.0,6611308
Laos,Asia,247,,49,198,,34,,153075.0,20795.0,7361068
Latvia,Europe,114955,2101.0,103953,8901,74.0,61501,1124.0,2210403.0,1182561.0,1869166
Lebanon,Asia,519615,7118.0,445163,67334,671.0,76408,1047.0,3903562.0,574009.0,6800529
Lesotho,Africa,10728,316.0,6267,4145,,4976,147.0,77329.0,35866.0,2156037
Liberia,Africa,2097,85.0,1940,72,2.0,407,16.0,93591.0,18160.0,5153617
Libya,Africa,174752,2947.0,160113,11692,,25155,424.0,942970.0,135738.0,6946996
Liechtenstein,Europe,2866,57.0,2724,85,7.0,74993,1491.0,32252.0,843918.0,38217
Lithuania,Europe,240522,3841.0,217779,18902,192.0,89372,1427.0,2706867.0,1005807.0,2691240
Luxembourg,Europe,66007,790.0,62183,3034,30.0,104076,1246.0,2606391.0,4109594.0,634221
Macedonia,Europe,150274,4650.0,128496,17128,124.0,72133,2232.0,703569.0,337718.0,2083304
Madagascar,Africa,35262,593.0,28132,6537,406.0,1248,21.0,175418.0,6206.0,28265015
Malawi,Africa,34011,1147.0,31899,965,15.0,1742,59.0,230117.0,11784.0,19528511
Malaysia,Asia,390252,1426.0,365900,22926,272.0,11934,44.0,9001532.0,275259.0,32702083
Maldives,Asia,27621,71.0,24234,3316,90.0,50381,130.0,705374.0,1286604.0,548245
Mali,Africa,13560,462.0,7989,5109,,654,22.0,248587.0,11997.0,20720546
Malta,Europe,30149,412.0,29261,476,,68133,931.0,856718.0,1936090.0,442499
Marshall Islands,Australia/Oceania,4,,4,0,,67,,,,59514
Martinique,North America,10611,68.0,98,10445,24.0,28294,181.0,149454.0,398514.0,375028
Mauritania,Africa,18240,454.0,17570,216,14.0,3841,96.0,227730.0,47962.0,4748180
Mauritius,Africa,1206,16.0,1029,161,,947,13.0,358675.0,281648.0,1273485
Mayotte,Africa,19849,169.0,2964,16716,7.0,71367,608.0,165683.0,595712.0,278126
Mexico,North America,2326738,214853.0,1848177,263708,4798.0,17894,1652.0,6531935.0,50233.0,130031556
Micronesia,Australia/Oceania,1,,1,0,,9,,,,116001
Moldova,Europe,248898,5709.0,236774,6415,230.0,61818,1418.0,966184.0,239967.0,4026325
Monaco,Europe,2429,31.0,2327,71,1.0,61544,785.0,51953.0,1316332.0,39468
Mongolia,Asia,30483,78.0,15403,15002,64.0,9179,23.0,2643658.0,796037.0,3321022
Montenegro,Europe,96499,1463.0,92377,2659,69.0,153629,2329.0,368139.0,586086.0,628131
Montserrat,North America,20,1.0,19,0,,4005,200.0,1313.0,262915.0,4994
Morocco,Africa,509037,8988.0,494872,5177,222.0,13660,241.0,6214771.0,166771.0,37265257
Mozambique,Africa,69643,807.0,62452,6384,43.0,2179,25.0,511476.0,16003.0,31960832
Myanmar,Asia,142704,3206.0,131925,7573,,2609,59.0,2565007.0,46887.0,54706074
Namibia,Africa,47671,624.0,45334,1713,36.0,18491,242.0,380088.0,147428.0,2578122
Nepal,Asia,297087,3136.0,277123,16828,,10050,106.0,2395725.0,81044.0,29560679
Netherlands,Europe,1453124,17038.0,1211609,224477,827.0,84653,993.0,11781337.0,686330.0,17165714
New Caledonia,Australia/Oceania,124,,58,66,,431,,30081.0,104548.0,287725
New Zealand,Australia/Oceania,2601,26.0,2542,33,,520,5.0,1992707.0,398374.0,5002100
Nicaragua,North America,6835,181.0,4225,2429,,1022,27.0,,,6688453
Niger,Africa,5158,191.0,4831,136,18.0,207,8.0,97154.0,3900.0,24910111
Nigeria,Africa,164684,2061.0,154687,7936,11.0,783,10.0,1870915.0,8898.0,210260754
Norway,Europe,110390,736.0,88952,20702,36.0,20234,135.0,5084200.0,931913.0,5455660
Oman,Asia,185278,1942.0,165051,18285,266.0,35553,373.0,1550000.0,297427.0,5211358
Pakistan,Asia,795627,17117.0,689812,88698,4826.0,3546,76.0,11538771.0,51430.0,224359546
Panama,North America,362696,6207.0,352523,3966,105.0,83001,1420.0,2348261.0,537390.0,4369753
Papua New Guinea,Australia/Oceania,10670,102.0,8369,2199,,1175,11.0,86619.0,9535.0,9084053
Paraguay,South America,265296,5802.0,217685,41809,521.0,36828,805.0,1058946.0,147003.0,7203559
Peru,South America,1754150,59440.0,1679099,15611,2646.0,52608,1783.0,10798298.0,323846.0,33343939
Philippines,Asia,989380,16674.0,883221,89485,750.0,8932,151.0,11460993.0,103473.0,110762901
Poland,Europe,2751632,65222.0,2422659,263751,3195.0,72770,1725.0,13901801.0,367647.0,37812856
Portugal,Europe,833964,16959.0,792377,24628,98.0,81982,1667.0,10226293.0,1005290.0,10172484
Qatar,Asia,201496,418.0,179974,21104,435.0,71763,149.0,1875805.0,668068.0,2807805
Reunion,Africa,19343,141.0,17653,1549,36.0,21480,157.0,100098.0,111158.0,900501
Romania,Europe,1044722,27267.0,968746,48709,1377.0,54603,1425.0,8093181.0,422996.0,19133008
Russia,Europe,4753789,107900.0,4380468,265421,2300.0,32563,739.0,127500000.0,873375.0,145985396
Rwanda,Africa,24535,328.0,22866,1341,6.0,1857,25.0,1284779.0,97249.0,13211198
Saint Barthelemy,North America,958,1.0,462,495,,96758,101.0,26385.0,2664882.0,9901
Saint Kitts And Nevis,North America,44,,44,0,,822,,12381.0,231399.0,53505
Saint Lucia,North America,4486,70.0,4300,116,,24340,380.0,39554.0,214607.0,184309
Saint Martin,North America,1720,12.0,1399,309,7.0,43878,306.0,27588.0,703776.0,39200
Saint Pierre And Miquelon,North America,25,,24,1,,4332,,5318.0,921504.0,5771
Saint Vincent And The Grenadines,North America,1830,10.0,1711,109,2.0,16453,90.0,44359.0,398815.0,111227
Samoa,Australia/Oceania,3,,2,1,,15,,,,199485
San Marino,Europe,5047,89.0,4839,119,5.0,148489,2618.0,59601.0,1753538.0,33989
Sao Tome And Principe,Africa,2297,35.0,2234,28,,10326,157.0,12597.0,56628.0,222450
Saudi Arabia,Asia,411263,6887.0,394529,9847,1205.0,11666,195.0,16477359.0,467405.0,35252814
Senegal,Africa,40082,1099.0,38815,168,9.0,2344,64.0,472132.0,27611.0,17099611
Serbia,Europe,677972,6196.0,615211,56565,209.0,77850,711.0,3766407.0,432489.0,8708685
Seychelles,Africa,5206,26.0,4675,505,,52670,263.0,21504.0,217559.0,98842
Sierra Leone,Africa,4044,79.0,2967,998,,499,10.0,119155.0,14696.0,8108067
Singapore,Asia,60966,30.0,60629,307,1.0,10355,5.0,9278789.0,1575962.0,5887699
Sint Maarten,North America,2215,27.0,2175,13,1.0,51189,624.0,26322.0,608306.0,43271
Slovakia,Europe,379476,11458.0,255300,112718,357.0,69478,2098.0,2548241.0,466558.0,5461794
Slovenia,Europe,236613,4203.0,221814,10596,160.0,113802,2021.0,1156509.0,556236.0,2079171
Solomon Islands,Australia/Oceania,20,,18,2,,29,,4500.0,6424.0,700472
Somalia,Africa,13459,689.0,5593,7177,,828,42.0,107545.0,6618.0,16250427
South Africa,Africa,1574370,54125.0,1500360,19885,546.0,26277,903.0,10508510.0,175391.0,59914768
South Korea,Asia,118887,1813.0,108475,8599,136.0,2317,35.0,8654791.0,168693.0,51305094
South Sudan,Africa,10515,114.0,10250,151,,931,10.0,147122.0,13019.0,11300129
Spain,Europe,3468617,77591.0,3163849,227177,2297.0,74164,1659.0,44374223.0,948785.0,46769519
Sri Lanka,Asia,100586,638.0,94155,5793,,4681,30.0,2374627.0,110519.0,21486239
State Of Palestine,Asia,290259,3151.0,260650,26458,153.0,55850,606.0,1709831.0,328995.0,5197130
Sudan,Africa,32695,2300.0,26411,3984,,732,51.0,232965.0,5215.0,44675565
Suriname,South America,9996,195.0,9052,749,17.0,16917,330.0,49079.0,83058.0,590898
Swaziland,Africa,18440,671.0,17737,32,3.0,15762,574.0,181570.0,155200.0,1169908
Sweden,Europe,938343,13923.0,766040,158380,403.0,92444,1372.0,8151774.0,803097.0,10150424
Switzerland,Europe,646509,10594.0,577630,58285,238.0,74260,1217.0,6723694.0,772304.0,8706020
Syria,Asia,21999,1526.0,15731,4742,,1233,86.0,103566.0,5804.0,17843646
Taiwan,Asia,1100,12.0,1045,43,,46,,513203.0,21516.0,23851847
Tajikistan,Asia,13308,90.0,13218,0,,1370,9.0,,,9710604
Tanzania,Africa,509,21.0,183,305,7.0,8,,,,61104547
Thailand,Asia,55460,140.0,31113,24207,1.0,793,2.0,8124896.0,116165.0,69942444
Timor Leste,Asia,1739,3.0,814,922,,1299,2.0,61902.0,46239.0,1338747
Togo,Africa,12787,121.0,10699,1967,,1516,14.0,305687.0,36239.0,8435318
Trinidad And Tobago,North America,9592,158.0,8129,1305,8.0,6836,113.0,124699.0,88869.0,1403173
Tunisia,Africa,298572,10231.0,248013,40328,493.0,25050,858.0,1273377.0,106836.0,11918933
Turkey,Asia,4591416,38011.0,4022408,530997,3511.0,53969,447.0,45623978.0,536279.0,85075142
Turks And Caicos Islands,North America,2376,17.0,2326,33,2.0,60704,434.0,48488.0,1238803.0,39141
Uganda,Africa,41575,341.0,40898,336,24.0,886,7.0,1001301.0,21348.0,46902951
UK,Europe,4403170,127417.0,4189154,86599,243.0,64586,1869.0,148737754.0,2181679.0,68175812
Ukraine,Europe,2025271,42323.0,1572528,410420,177.0,46537,973.0,9214479.0,211732.0,43519479
United Arab Emirates,Asia,508925,1569.0,490457,16899,,50957,157.0,42911245.0,4296591.0,9987276
Uruguay,South America,182326,2283.0,151669,28374,519.0,52340,655.0,1720603.0,493927.0,3483519
USA,North America,32789653,585880.0,25339874,6863899,9944.0,98592,1762.0,438591428.0,1318756.0,332579690
Uzbekistan,Asia,89027,643.0,85764,2620,23.0,2629,19.0,1377915.0,40692.0,33862069
Vanuatu,Australia/Oceania,4,1.0,3,0,,13,3.0,470.0,1502.0,312938
Venezuela,South America,190523,2028.0,173097,15398,293.0,6716,71.0,3359014.0,118399.0,28370293
Viet Nam,Asia,2833,35.0,2516,282,,29,,2598753.0,26505.0,98049386
Wallis And Futuna Islands,Australia/Oceania,440,5.0,44,391,4.0,39718,451.0,12359.0,1115635.0,11078
Western Sahara,Africa,10,1.0,8,1,,16,2.0,,,609186
Yemen,Asia,6105,1175.0,2486,2444,23.0,201,39.0,22934.0,755.0,30356421
Zambia,Africa,91317,1245.0,89403,669,45.0,4858,66.0,1375608.0,73176.0,18798701
Zimbabwe,Africa,38064,1556.0,35101,1407,12.0,2531,103.0,404405.0,26892.0,15038159
